respondent id,agency code,loan type,property type,loan purpose,owner occ,loan amount,pre approval,action taken,msa/md,state,county,census tract,applicant ethnicity,coapp ethnicity,applicant race 1,coapp race,sex,coapp sex,income,type of purchaser,denial reason 1,denial reason 2,denial reason 3,rate of spread,hoepa status,lien status,loan type modified,action modified
7197000003,7,2,1,3,1,181,3,1,33460,27,3,507.02,3,5,6,8,3,5,101,2,,,,NA,2,1,0,1
7197000003,7,1,1,3,1,422,3,1,33460,27,53,239.03,3,3,6,6,3,3,238,1,,,,NA,2,1,1,1
7197000003,7,1,1,1,1,488,2,1,33460,27,37,606.05,3,3,6,6,3,3,174,6,,,,NA,2,1,1,1
7197000003,7,2,1,3,1,178,3,1,33460,27,123,405.04,2,5,5,8,1,5,54,2,,,,NA,2,1,0,1
7197000003,7,1,1,3,1,106,3,1,33460,27,3,512.03,2,5,5,8,2,5,41,1,,,,NA,2,1,1,1
7197000003,7,2,1,3,1,197,3,1,33460,27,163,712.06,2,2,5,5,1,2,79,2,,,,NA,2,1,0,1
7197000003,7,1,1,3,1,125,3,2,33460,27,53,121.02,3,3,6,6,1,2,76,0,,,,NA,2,1,1,1
7197000003,7,1,1,3,1,149,3,1,33460,27,163,709.1,3,3,6,6,3,3,75,1,,,,NA,2,1,1,1
7197000003,7,1,1,3,1,182,3,1,33460,27,53,214,2,5,2,8,1,5,51,1,,,,NA,2,1,1,1
7197000003,7,1,1,3,1,194,3,1,33460,27,3,511.03,2,5,5,8,2,5,56,1,,,,NA,2,1,1,1
7197000003,7,2,1,1,1,216,2,1,33460,27,123,409.01,3,5,6,8,3,5,54,2,,,,NA,2,1,0,1
7197000003,7,1,1,1,1,211,1,1,NA,27,49,806,2,5,5,8,2,5,80,1,,,,NA,2,1,1,1
7197000003,7,2,1,1,1,117,2,3,41060,27,9,211.02,2,5,5,8,1,5,110,0,4,,,NA,2,1,0,0
7197000003,7,2,1,3,1,223,3,3,33460,27,19,908,2,2,5,5,1,2,180,0,7,,,NA,2,1,0,0
7197000003,7,1,1,1,1,292,1,1,33460,27,53,267.08,2,2,5,5,1,2,135,1,,,,NA,2,1,1,1
7197000003,7,1,1,1,1,116,2,1,NA,27,15,9605,3,5,6,8,3,5,25,3,,,,NA,2,1,1,1
7197000003,7,2,1,3,1,74,3,3,NA,27,77,4603,2,5,5,8,1,5,81,0,7,,,NA,2,1,0,0
7197000003,7,2,1,3,1,174,3,3,40340,27,45,9603,2,5,5,8,1,5,51,0,4,7,,NA,2,1,0,0
7197000003,7,1,1,1,1,238,2,1,NA,27,93,5601,2,2,5,5,1,2,143,1,,,,NA,2,1,1,1
7197000003,7,2,1,3,1,269,3,1,33460,27,37,608.25,2,2,5,1,1,2,95,2,,,,NA,2,1,0,1
7197000003,7,3,1,1,1,89,2,1,NA,27,115,9504,3,5,6,8,3,5,38,2,,,,NA,2,1,0,1
7197000003,7,1,1,1,1,185,1,1,33460,27,37,608.26,3,5,6,8,2,5,80,1,,,,NA,2,1,1,1
7197000003,7,2,1,3,1,291,3,1,33460,27,3,501.15,2,2,5,5,2,1,135,2,,,,NA,2,1,0,1
7197000003,7,1,1,1,1,346,2,1,33460,27,53,267.14,3,5,6,8,3,5,133,1,,,,NA,2,1,1,1
7197000003,7,3,1,3,1,95,3,1,33460,27,53,234,3,5,6,8,1,5,27,2,,,,NA,2,1,0,1
7197000003,7,2,1,3,1,304,3,1,33460,27,123,406.01,2,2,5,5,1,2,99,2,,,,NA,2,1,0,1
7197000003,7,1,1,1,1,93,2,1,NA,27,57,703,2,5,5,8,2,5,52,3,,,,NA,2,1,1,1
7197000003,7,1,1,1,1,161,2,1,NA,27,61,4805,3,3,6,6,3,3,89,3,,,,NA,2,1,1,1
